premise,hypothesis,label,premise_en,hypothesis_en,source
رجل يركب حصانًا قذرًا على طريق أزرق,رجل بملابس زرقاء يركب حصانًا على طريق ترابي,1,A man is riding a dirty horse on a blue road,A man in blue is riding a horse on a dirt road,arNLI
رجل قطع بصلة,رجل يأكل شرائح البصل,1,A man is slicing an onion,A man is eating onion slices,arNLI
بجانب ميناء الرحلات البحرية يقع فلاغ هيل، يرتفع 700 قدم (214 م) فوق مستوى سطح البحر.,فلاغ هيل مرتفع جدا مقارنة ببقية البلدة.,1,"Beside the cruise port is Flag Hill, rising 700 ft (214 m) above sea level.",Flag Hill his very high compared to the rest of town.,xnli
وتعهد تونغ باتخاذ اجراءات صارمة ضد المضاربين العقاريين لكن كثيرون يعتقدون أنه يتكلم كثيرا و لا يفعل شيئا,يعتقد تونغ أن المضاربين العقاريين يتصرفون بشكل غير أخلاقي.,1,"Tung has vowed to crack down on property speculators, but many think his bark will be worse than his bite.",Tung thinks property speculators are acting unethically.,xnli
قامت تي في إيه بتركيب ممر جانبي للبناء لإرسال الغاز من منفذ التسخين الهوائي مباشرة إلى مجموعة إزالة الكبريت ، بينما تم هدم (إيه إس بي) وإقامة مفاعل (إس سي آر) في مكانه.,سيرسل المجرى جانبيّ ماء إلى ال مناقشة جماعية فى موضوع محدد.,2,"TVA installed a construction bypass to send gas from the air preheater outlet directly to the FGD, while the ESP was being demolished and the SCR reactor erected in its place.",The bypass will  send water to the FGD.,xnli
كان ذلك الشيْ الأساسي الوحيد الذي أردنا أن ننقذه لأنه لم يكن هناك أي طريقة لإلقاء قنبلة هيدروجينية بقوة 20 ميغا 30 C 124 .,أردنا إنقاذ قنبلة h-bomb لأنه كان من الصعب التعامل معها.,1,"That was the primary thing we wanted to save since there wasn't any way to dump a 20-megaton H-bomb off a 30, a C124.",We wanted to save the h-bomb because it was so hard to deal with.,xnli
وقد أتى الرجل على أي حال.,دخل الرجل قاعة المحكمة.,1,Anyhow the man comes in.,The man entered the courtroom.,xnli
راكب دراجة يضع دراجة فوق رأسه في مجموعة من الأشخاص,الرجل يغني بحرارة ويعزف على الجيتار,1,A bicyclist is holding a bike over his head in a group of people,The man is singing heartily and playing the guitar,arNLI
طفل صغير يتسلق  على جدار تسلق الصخور التي هي في الداخل, صبي صغير يتسلق  على جدار مصنوع من الصخور,1,A young child is climbing a rock climbing wall which is indoors,One young boy is climbing a wall made of rock,arNLI
السعي وراء المساهمات من المجتمع التقني هو أحد أسباب قطع بعض المرشحين لأشواط كبيرة لتطوير منصة بتقنيات عالية.,المجتمعات التكنولوجية آخذة في النمو.,1,The pursuit of contributions from the high-tech community is one of the reasons that some candidates have gone to great lengths to develop a high-tech platform.,The tech community is growing.,xnli
مأدبة الطعام ليست من الباركيه،,حفل العشاء على مشمع.,1,"Banquet is not nearly parquet,",The dinner party is on linoleum.,xnli
أوه، جميع الرؤساء التنفيذيين لاتحادات الإئتمان والناس من هذا القبيل يعملون حقا على مواكبة ما يجري مع الاتحادات الائتمانية,كانت مهتمة بمعرفة المزيد عن كيفية كسب اتحادات الائتمان للأموال.,1,all the uh credit union CEOs and people like that so she was really into the keeping up on what's going on with the credit unions,She was interested in learning more about how credit unions made their money.,xnli
يعمل مدير قسم المعلومات بالشركة مع الرؤساء التنفيذيين أو غيرهم من مديري المعلومات في كل وحدة من وحدات الأعمال لضمان كفاءة وموثوقية وقابلة للتشغيل البيني للشركة بأكملها.,لن يتحدث رئيس قسم المعلومات مع زملاؤه.,2,"The corporate CIO works with CIOs or other information managers in each of the business units to ensure efficient, reliable, and interoperable technology for the entire corporation.",The CIO won't talk to his peers.,xnli
ولكن وقته كان قد استهلك فى جعل الموظفين الجدد فى أماكنهم والعمل على وثائق سياسة الدفاع الخاصة بالمؤسسة ، استعراض الدفاع الرباعى ، توجيه التخطيط الدفاعى ، و العمل على خطط الطوارئ الحالية .,كان لديه الكثير من وقت الفراغ لأخذ عدة إجازات طويلة أثناء العمل على هذه المشاريع.,2,"But his time was consumed with getting new officials in place and working on the foundation documents of a new defense policy, the quadrennial defense review, the defense planning guidance, and the existing contingency plans.",He had plenty of free time to take several long vacations while working on these projects.,xnli
مجموعة من البالغين يقفون في الحمام وينظرون إلى طفل في حوض الاستحمام.,أم الطفل تشاهد ابنها مع أصدقائها.,1,A group of adults stands in the bathroom looking down a small child in the bath.,The childs mom is watching her son with her friends.,snli
امرأة آسيوية تتمتع بمعاملة لطيفة,رجل أعمال يسارع إلى العمل.,2,An Asian woman enjoys a nice treat,A business man is hurrying to work.,snli
رجل يعزف على الجيتار,رجل يعزف على الغيتار الكهربائي,0,A man is playing guitar,A man is playing an electric guitar,arNLI
لدى عودته إلى الولايات المتحدة ، التقى هاج في المطار بعملاء مكتب التحقيقات الفيدرالي ، وتم استجوابه ، واستدعي في اليوم التالي أمام هيئة المحلفين الفيدرالية ، ثم قام بالتحقيق في بن لادن.,استجوب هاجي من قبل عملاء مكتب التحقيقات الفدرالي.,0,"On returning to the United States, Hage was met at the airport by FBI agents, interrogated, and called the next day before the federal grand jury then investigating Bin Ladin.",Hage was interrogated by FBI agents.,xnli
كلب صغير أبيض وأسود يحمل عصا وهو يسبح,كلب يجلب قطعة من الخشب من ماء نقي جدًا,1,A small black and white dog is carrying a stick and is swimming,A dog is fetching a piece of wood out of very clear water,arNLI
"الأسماء, مثل فتاة حزينة",الأسماء مثل الفتاة التي تسقط.,1,"Names, such as  Sad Girl",Names like girl who fell down,xnli
لا يتم تقشير البطاطا من قبل امرأة,امرأة واحدة  تقشر  البطاطا,2,The potato isn't being peeled by a woman,One woman is peeling a potato,arNLI
نعم هناك شيء متعلق بوجود مكان للعيش لا أعلمه,أن يكون لدي مكان للعيش فيه هو حلم أصبح حقيقة.,1,yeah there there's something about having a place to live i don't know,Having a place to live is a dream come true.,xnli
ثابت ، ذئب عجوز! ثابت! حذره الكابتن بالدم.,حيث أنه يتمتع بالخبرة، ساعد كابتن بلد في رفع الروح المعنوية بين أفراد طاقمه.,1,"Steady, Old Wolf! Steady!  Captain Blood admonished him.","As he is experienced, Captain Blood helped boost morale amongst his crew members.",xnli
إنها منطقة صخرية حيث كان المزارع الذي يدعى لوفر يختبئ بين الصخور من أشخاص عازمين على قتله.,كان لعشيقه هدفًا يقع على عاتقه، وبالتالي كان عليه أن يختبئ بين الصخور.,0,It is a rocky area where a rancher named Lover hid among the boulders from people intent on killing him.,Lover had a target on his head and thus had to hide between the rocks.,xnli
الرجال الذين يرتدون السراويل البنية لا يمشون على الصخور بجانب نهر,الرجل الذي يرتدي سروالاً بني اللون يمشي على الصخور بجانب نهر,1,Three boys are walking on rocks along a river,The man in brown colored shorts is walking on the rocks beside a river,arNLI
رجل واحد يتسلق جرفًا بحبل,يتسلق شخص صخرة بحبل لونه وردي,1,One man is climbing a cliff with a rope,"A person is climbing a rock with a rope, which is pink",arNLI
رجل يلعب بلياردو في بار.,رجل يلعب بلياردو.,0,A man playing billiards at a bar.,A man is playing billiards.,snli
رجل يقف بجوار مبنى بوجهين على جزيرة الفصح.,سائح يأخذ صورته على جزيرة الفصح.,1,A man stands by two face structures on Easter Island.,A tourist has his picture taken on Easter Island.,snli
لقد أشارت إلى مجموعة من الشجيرات التي تدعو للاكتئاب ولكنها ملتفة بالأشجار.,التفتت نحو شجيرة أخرى من الشجيرات.,0,She pointed to a patch of equally depressing but bushier shrubbery.,"She gestured toward another, bushier shrub.",xnli
الباندا يأكل الخيزران,دب الباندا يأكل قصب الخيزران,0,The panda is eating bamboo,One panda is eating a bamboo cane,arNLI
كان كارلوس ف. لميس (1859-1928) أحد المؤيدين المشهورين للفولكلور الإسباني المكسيكي في الجنوب الغربي وكاليفورنيا، مصور فوتوغرافي ذاتي، وعالم إثنولوجي، وعالم موسيقي، وصحفي، ومؤسس متحف ساوث ويست في لوس أنجلوس.,كان تشارلز ف. لوميس مرحا.,1,"A renowned proponent of Mexican Spanish folklore in the Southwest and California was Charles F. Lummis (1859-1928), a self-taught photographer, ethnologist, musicologist, journalist, and the founder of the Southwest Museum in Los Angeles.",Charles F. Lummis was funny.,xnli
صحيح صحيح  لا تقترب من الياردات التسع الكاملة,ليس عليك أن تفعل كل شيء.,0,right right don't go through the whole nine yards and,You don't have to do the whole thing.,xnli
واستناداً إلى الفترات الزمنية المقدرة اللازمة لإكمال كل مرحلة من المراحل الأربع الموضحة أعلاه ، فإن الفترة الزمنية المقدرة لاستكمال تنفيذ SCR على وحدة احتراق واحدة تبلغ حوالي 21 شهراً.,قد يستغرق الأمر أكثر من عام لتطبيق نظام الخفض الانتقائي التحفيزي بالكامل على وحدة احتراق واحدة.,0,"Based on the estimated time periods needed to complete each of the four phases described above, the estimated time period to complete the implementation of SCR on one combustion unit is about 21 months.",It would take more than a year to completely implement an SCR on one combustion unit.,xnli
رجل في قميص أبيض و رمادي ينظر بينما رجل عاري الصدر بشارب ينظف سمكة على طاولة شاحبة الخضار.,الرجل ينظف السمكة التي أمسكها فيمكنه طهوها.,1,A man in a white and gray shirt looks on as a shirtless man with a mustache cleans fish on a pale green table.,The man is cleaning the fish that he caught so he can cook it.,snli
رجل أصلع في فرقة يعزف على الجيتار في دائرة الضوء,يفتح الباب من قبل رجل,1,A bald man in a band is playing guitar in the spotlight,A door is being opened by a man,arNLI
لقد كان تقريباً بعمر كافي ليكون والدها.,كان أصغر من ذلك بكثير.,2,"Well, he was almost, old enough to be her daddy.",He was much younger than her.,xnli
طفل يزحف بسعادة,الطفل يتدلى بسعادة,1,A baby is crawling happily,A baby is toddling happily,arNLI
المرأة تطبخ شيء,المرأة تطبخ البيض,0,The woman is cooking something,The woman is cooking eggs,arNLI
نظر مكتب المحاسبة العام في قصة السلاح ولم يتمكن من تأكيده.,لم يتمكن مكتب المحاسبة العامة من تأكيد قصة المسدس.,0,The General Accounting Office looked into the gun story and was unable to corroborate it.,The General Accounting Office was unable to confirm the gun story.,xnli
يمكنك أن ترى من خلال قراءة الرمز ، يا صديقي أنه لا يزال هناك العديد من المزايا الضريبية الفيدرالية والدولية لتقديم مساهمات خيرية.,تقديم مساهمة خيرية ستفيدك بشكل مباشر.,1,"You can see by reading the code, my friend that there are still many federal and state tax advantages for making charitable contributions.",Making a charitable contribution will benefit you directly.,xnli
لكنها نوع من المناطق التي نعيش فبها. لكن بالطبع نفقات المعيشة ليست بهذا السوء على الرغم من ذلك وهذا هو الفرق,العيش هنا أرخص بكثير من أي ولاية أخرى.,1,but it's a it's a type of area we live in of course living expenses aren't as bad either though which makes a difference,It's much cheaper to live here than any other state.,xnli
في بعض الأحيان يتم تعزيز هذه العملية الشخصية للنضج أو الاضمحلال (الاختيار) من خلال ما تشهده الثقافة.,لا شيء يحدث في الثقافة اليوم يدعم هذه العملية الشخصية ، مهما اخترت تسميتها.,2,Sometimes this personal process of maturity or decay (take your pick) is reinforced by what's happening in the culture.,"Nothing that's happening in the culture today supports this personal process, whatever you choose to call it.",xnli
امرأة تقلي شيء,امرأة تركب الخيل ,1,A woman is frying something,A woman is riding a horse,arNLI
أعلنت الشرطة أنها استبعدت الأخ غير الشقيق والأخت غير الشقيقة لـ جون بينت رامسي كمشتبهين في قتلها، من الواضح أنهما كانا خارج المدينة عندما ارتكبت الجريمة.,هناك أدلة كافية للقبض على الأخ غير الشقيق لجون بينيت رامسي كقاتل.,2,"Police announced that they have ruled out JonBenet Ramsey's half-brother and half-sister as suspects in her murder, evidently because both were out of town when the crime was committed.",There is enough evidence to arrest Jon Benet Ramsey's half brother as the murderer.,xnli
رجال هنديون يبيعون الطعام على الرصيف,الرجال يبيعون النقانق على الرصيف .,1,Indian men selling food items on the sidewalk,Men are selling hotdogs on the sidewalk.,snli
